comparison,target,baseline,metric,source_field,improvement_pct,ci_low_pct,ci_high_pct,sample_count,bootstrap_resamples,bootstrap_seed,conclusion,effect_semantics
selective_thp_vs_same_layout_off,unialloc_lifetime_thp_on,unialloc_lifetime_thp_off,touch_latency,ns_per_touch,10.371285819,6.719364075,14.053949504,20,20000,20260714,improved,positive means target is lower/better
selective_thp_vs_same_layout_off,unialloc_lifetime_thp_on,unialloc_lifetime_thp_off,allocator_lifecycle,allocator_lifecycle_ns_per_allocation,31.986954514,31.777843000,32.179873352,20,20000,20260715,improved,positive means target is lower/better
selective_thp_vs_same_layout_off,unialloc_lifetime_thp_on,unialloc_lifetime_thp_off,maximum_effective_resident,max_effective_resident_kib,-0.334295763,-0.357367247,-0.309663862,20,20000,20260716,regressed,positive means target is lower/better
selective_thp_vs_same_layout_off,unialloc_lifetime_thp_on,unialloc_lifetime_thp_off,steady_effective_resident,steady_effective_resident_kib,-0.283191675,-0.327271013,-0.233423624,20,20000,20260717,regressed,positive means target is lower/better
selective_thp_vs_ordinary,unialloc_lifetime_thp_on,unialloc_ordinary,touch_latency,ns_per_touch,8.550110713,4.275461497,12.899184064,20,20000,20260815,improved,positive means target is lower/better
selective_thp_vs_ordinary,unialloc_lifetime_thp_on,unialloc_ordinary,allocator_lifecycle,allocator_lifecycle_ns_per_allocation,31.868850493,31.640463688,32.102697093,20,20000,20260816,improved,positive means target is lower/better
selective_thp_vs_ordinary,unialloc_lifetime_thp_on,unialloc_ordinary,maximum_effective_resident,max_effective_resident_kib,-0.332454227,-0.355891691,-0.308036340,20,20000,20260817,regressed,positive means target is lower/better
selective_thp_vs_ordinary,unialloc_lifetime_thp_on,unialloc_ordinary,steady_effective_resident,steady_effective_resident_kib,-0.281190776,-0.325866182,-0.230269603,20,20000,20260818,regressed,positive means target is lower/better
selective_thp_vs_default,unialloc_lifetime_thp_on,unialloc_default,touch_latency,ns_per_touch,16.896424434,13.501634074,20.378304953,20,20000,20260916,improved,positive means target is lower/better
selective_thp_vs_default,unialloc_lifetime_thp_on,unialloc_default,allocator_lifecycle,allocator_lifecycle_ns_per_allocation,16.546055495,15.980732746,17.088542454,20,20000,20260917,improved,positive means target is lower/better
selective_thp_vs_default,unialloc_lifetime_thp_on,unialloc_default,maximum_effective_resident,max_effective_resident_kib,-0.072075861,-0.092025516,-0.049018840,20,20000,20260918,regressed,positive means target is lower/better
selective_thp_vs_default,unialloc_lifetime_thp_on,unialloc_default,steady_effective_resident,steady_effective_resident_kib,8.092454883,7.606997663,8.590319792,20,20000,20260919,improved,positive means target is lower/better
same_layout_off_vs_default,unialloc_lifetime_thp_off,unialloc_default,touch_latency,ns_per_touch,7.280187688,5.648672283,8.799872954,20,20000,20261017,improved,positive means target is lower/better
same_layout_off_vs_default,unialloc_lifetime_thp_off,unialloc_default,allocator_lifecycle,allocator_lifecycle_ns_per_allocation,-22.702849003,-23.361972684,-22.057218828,20,20000,20261018,regressed,positive means target is lower/better
same_layout_off_vs_default,unialloc_lifetime_thp_off,unialloc_default,maximum_effective_resident,max_effective_resident_kib,0.261346232,0.250921504,0.272211165,20,20000,20261019,improved,positive means target is lower/better
same_layout_off_vs_default,unialloc_lifetime_thp_off,unialloc_default,steady_effective_resident,steady_effective_resident_kib,8.351994406,7.844164463,8.851487345,20,20000,20261020,improved,positive means target is lower/better
