target,variant,operation_speedup_percent_vs_default,peak_rss_saving_percent_vs_default,anon_hugepages_mib
DataFusion,default,0.000000000,0.000000000,0.000
DataFusion,thp_first_fit,0.360192093,-4.170249967,5.000
DataFusion,runtime_profile,-3.338425364,-0.406525478,0.000
DataFusion,compiler_hint,2.675050670,-4.541724945,16.000
Lume,default,0.000000000,0.000000000,0.000
Lume,thp_first_fit,-4.325041290,-18.781819759,4.000
Lume,runtime_profile,-2.517159950,-5.644837582,8.000
Lume,compiler_hint,9.706304238,-0.445689531,16.000
Roaring,default,0.000000000,0.000000000,0.000
Roaring,thp_first_fit,-2.743827207,-16.552950908,4.000
Roaring,runtime_profile,-0.975494842,-8.551514539,10.000
Roaring,compiler_hint,1.592573080,0.108261159,16.000
Convex,default,0.000000000,0.000000000,0.000
Convex,thp_first_fit,-2.637952169,-14.999994812,4.000
Convex,runtime_profile,2.690688919,4.739957140,10.000
Convex,compiler_hint,7.067184559,15.980669508,16.000
Bedrock,default,0.000000000,0.000000000,0.000
Bedrock,thp_first_fit,-1.678274709,-39.392082911,5.000
Bedrock,runtime_profile,-3.884992336,-0.389093091,0.000
Bedrock,compiler_hint,15.647621957,-0.124533037,8.000
