metric,comparison,comparison_label,aggregation_level,target_id,target_label,workload_id,rss_work_model,eligible_for_suite_headline,diagnostic_only,ratio,observation_count,note
performance,compiler_route,Compiler route,workload_paired_run_median,oxipng,Oxipng,cli_issue_141_t1,fixed_work,True,False,1.017616244521667,5,median of five paired-run ratios; compiler-route-equivalent
performance,compiler_route,Compiler route,workload_paired_run_median,oxipng,Oxipng,cli_issue_141_t4,fixed_work,True,False,1.0169388640997745,5,median of five paired-run ratios; compiler-route-equivalent
performance,compiler_route,Compiler route,workload_paired_run_median,oxipng,Oxipng,filters_8bit_filter_0,fixed_work,True,False,1.0880028928418808,5,median of five paired-run ratios; compiler-route-equivalent
performance,compiler_route,Compiler route,workload_paired_run_median,oxipng,Oxipng,filters_entropy,fixed_work,True,False,1.0507908507047752,5,median of five paired-run ratios; compiler-route-equivalent
performance,compiler_route,Compiler route,workload_paired_run_median,oxipng,Oxipng,reductions_rgba_to_palette_8,fixed_work,True,False,1.005735039834762,5,median of five paired-run ratios; compiler-route-equivalent
performance,compiler_route,Compiler route,within_target_geometric_mean,oxipng,Oxipng,,fixed_work,True,False,1.0353847356475916,5,geometric mean across workload paired-run medians within target
performance,compiler_route,Compiler route,route_equivalent_within_target_geometric_mean,oxipng,Oxipng,,fixed_work,True,False,1.0353847356475916,5,geometric mean across route-equivalent workloads within target
peak_rss,compiler_route,Compiler route,workload_paired_run_median,oxipng,Oxipng,cli_issue_141_t1,fixed_work,True,False,1.0106017191977077,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,compiler_route,Compiler route,workload_paired_run_median,oxipng,Oxipng,cli_issue_141_t4,fixed_work,True,False,1.0152457783550968,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,compiler_route,Compiler route,workload_paired_run_median,oxipng,Oxipng,filters_8bit_filter_0,fixed_work,True,False,1.25,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,compiler_route,Compiler route,workload_paired_run_median,oxipng,Oxipng,filters_entropy,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,compiler_route,Compiler route,workload_paired_run_median,oxipng,Oxipng,reductions_rgba_to_palette_8,fixed_work,True,False,1.25,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,compiler_route,Compiler route,within_target_geometric_mean,oxipng,Oxipng,,fixed_work,True,False,1.0989912893394933,5,geometric mean across workload paired-run medians within target
performance,end_to_end,End to end,workload_paired_run_median,oxipng,Oxipng,cli_issue_141_t1,fixed_work,True,False,1.0442140388382706,5,median of five paired-run ratios; compiler-route-equivalent
performance,end_to_end,End to end,workload_paired_run_median,oxipng,Oxipng,cli_issue_141_t4,fixed_work,True,False,1.041986840344493,5,median of five paired-run ratios; compiler-route-equivalent
performance,end_to_end,End to end,workload_paired_run_median,oxipng,Oxipng,filters_8bit_filter_0,fixed_work,True,False,1.0557756118075234,5,median of five paired-run ratios; compiler-route-equivalent
performance,end_to_end,End to end,workload_paired_run_median,oxipng,Oxipng,filters_entropy,fixed_work,True,False,1.046491312018977,5,median of five paired-run ratios; compiler-route-equivalent
performance,end_to_end,End to end,workload_paired_run_median,oxipng,Oxipng,reductions_rgba_to_palette_8,fixed_work,True,False,0.9993626315338131,5,median of five paired-run ratios; compiler-route-equivalent
performance,end_to_end,End to end,within_target_geometric_mean,oxipng,Oxipng,,fixed_work,True,False,1.0373765444400513,5,geometric mean across workload paired-run medians within target
performance,end_to_end,End to end,route_equivalent_within_target_geometric_mean,oxipng,Oxipng,,fixed_work,True,False,1.0373765444400513,5,geometric mean across route-equivalent workloads within target
peak_rss,end_to_end,End to end,workload_paired_run_median,oxipng,Oxipng,cli_issue_141_t1,fixed_work,True,False,1.0096009036144578,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,end_to_end,End to end,workload_paired_run_median,oxipng,Oxipng,cli_issue_141_t4,fixed_work,True,False,0.9979489984275655,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,end_to_end,End to end,workload_paired_run_median,oxipng,Oxipng,filters_8bit_filter_0,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,end_to_end,End to end,workload_paired_run_median,oxipng,Oxipng,filters_entropy,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,end_to_end,End to end,workload_paired_run_median,oxipng,Oxipng,reductions_rgba_to_palette_8,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,end_to_end,End to end,within_target_geometric_mean,oxipng,Oxipng,,fixed_work,True,False,1.0015015261772915,5,geometric mean across workload paired-run medians within target
performance,policy_increment,Policy increment,workload_paired_run_median,oxipng,Oxipng,cli_issue_141_t1,fixed_work,True,False,1.0297996297971708,5,median of five paired-run ratios; compiler-route-equivalent
performance,policy_increment,Policy increment,workload_paired_run_median,oxipng,Oxipng,cli_issue_141_t4,fixed_work,True,False,1.0255143601536343,5,median of five paired-run ratios; compiler-route-equivalent
performance,policy_increment,Policy increment,workload_paired_run_median,oxipng,Oxipng,filters_8bit_filter_0,fixed_work,True,False,0.9801059239153237,5,median of five paired-run ratios; compiler-route-equivalent
performance,policy_increment,Policy increment,workload_paired_run_median,oxipng,Oxipng,filters_entropy,fixed_work,True,False,0.9969179827860007,5,median of five paired-run ratios; compiler-route-equivalent
performance,policy_increment,Policy increment,workload_paired_run_median,oxipng,Oxipng,reductions_rgba_to_palette_8,fixed_work,True,False,0.9975082472903156,5,median of five paired-run ratios; compiler-route-equivalent
performance,policy_increment,Policy increment,within_target_geometric_mean,oxipng,Oxipng,,fixed_work,True,False,1.0057931727806915,5,geometric mean across workload paired-run medians within target
performance,policy_increment,Policy increment,route_equivalent_within_target_geometric_mean,oxipng,Oxipng,,fixed_work,True,False,1.0057931727806915,5,geometric mean across route-equivalent workloads within target
peak_rss,policy_increment,Policy increment,workload_paired_run_median,oxipng,Oxipng,cli_issue_141_t1,fixed_work,True,False,0.9879028447216709,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,policy_increment,Policy increment,workload_paired_run_median,oxipng,Oxipng,cli_issue_141_t4,fixed_work,True,False,1.0111663375774493,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,policy_increment,Policy increment,workload_paired_run_median,oxipng,Oxipng,filters_8bit_filter_0,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,policy_increment,Policy increment,workload_paired_run_median,oxipng,Oxipng,filters_entropy,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,policy_increment,Policy increment,workload_paired_run_median,oxipng,Oxipng,reductions_rgba_to_palette_8,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,policy_increment,Policy increment,within_target_geometric_mean,oxipng,Oxipng,,fixed_work,True,False,0.9997867293265497,5,geometric mean across workload paired-run medians within target
performance,compiler_route,Compiler route,workload_paired_run_median,redb,redb,bulk_small,fixed_work,True,False,1.0548699480766464,5,median of five paired-run ratios; compiler-route-equivalent
performance,compiler_route,Compiler route,workload_paired_run_median,redb,redb,transaction_churn,fixed_work,True,False,1.3982844803133816,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,redb,redb,delete_reinsert,fixed_work,True,False,1.0586793827836183,5,median of five paired-run ratios; compiler-route-equivalent
performance,compiler_route,Compiler route,workload_paired_run_median,redb,redb,large_values,fixed_work,True,False,0.9918174339490106,5,median of five paired-run ratios; compiler-route-equivalent
performance,compiler_route,Compiler route,within_target_geometric_mean,redb,redb,,fixed_work,True,False,1.1155721475564533,4,geometric mean across workload paired-run medians within target
performance,compiler_route,Compiler route,route_equivalent_within_target_geometric_mean,redb,redb,,fixed_work,True,False,1.0346616952789067,3,geometric mean across route-equivalent workloads within target
peak_rss,compiler_route,Compiler route,workload_paired_run_median,redb,redb,bulk_small,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,compiler_route,Compiler route,workload_paired_run_median,redb,redb,transaction_churn,fixed_work,True,False,1.0,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,redb,redb,delete_reinsert,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,compiler_route,Compiler route,workload_paired_run_median,redb,redb,large_values,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,compiler_route,Compiler route,within_target_geometric_mean,redb,redb,,fixed_work,True,False,1.0,4,geometric mean across workload paired-run medians within target
performance,end_to_end,End to end,workload_paired_run_median,redb,redb,bulk_small,fixed_work,True,False,1.0688604181982921,5,median of five paired-run ratios; compiler-route-equivalent
performance,end_to_end,End to end,workload_paired_run_median,redb,redb,transaction_churn,fixed_work,True,False,1.410456992403389,5,median of five paired-run ratios
performance,end_to_end,End to end,workload_paired_run_median,redb,redb,delete_reinsert,fixed_work,True,False,1.0632608733783695,5,median of five paired-run ratios; compiler-route-equivalent
performance,end_to_end,End to end,workload_paired_run_median,redb,redb,large_values,fixed_work,True,False,0.9928183678600341,5,median of five paired-run ratios; compiler-route-equivalent
performance,end_to_end,End to end,within_target_geometric_mean,redb,redb,,fixed_work,True,False,1.123175495263244,4,geometric mean across workload paired-run medians within target
performance,end_to_end,End to end,route_equivalent_within_target_geometric_mean,redb,redb,,fixed_work,True,False,1.041062676943563,3,geometric mean across route-equivalent workloads within target
peak_rss,end_to_end,End to end,workload_paired_run_median,redb,redb,bulk_small,fixed_work,True,False,1.013157894736842,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,end_to_end,End to end,workload_paired_run_median,redb,redb,transaction_churn,fixed_work,True,False,1.0,5,median of five paired-run ratios
peak_rss,end_to_end,End to end,workload_paired_run_median,redb,redb,delete_reinsert,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,end_to_end,End to end,workload_paired_run_median,redb,redb,large_values,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,end_to_end,End to end,within_target_geometric_mean,redb,redb,,fixed_work,True,False,1.0032733661922877,4,geometric mean across workload paired-run medians within target
performance,policy_increment,Policy increment,workload_paired_run_median,redb,redb,bulk_small,fixed_work,True,False,1.0056564344769034,5,median of five paired-run ratios; compiler-route-equivalent
performance,policy_increment,Policy increment,workload_paired_run_median,redb,redb,transaction_churn,fixed_work,True,False,1.008705318739774,5,median of five paired-run ratios
performance,policy_increment,Policy increment,workload_paired_run_median,redb,redb,delete_reinsert,fixed_work,True,False,1.0095705288044037,5,median of five paired-run ratios; compiler-route-equivalent
performance,policy_increment,Policy increment,workload_paired_run_median,redb,redb,large_values,fixed_work,True,False,0.9992066438046392,5,median of five paired-run ratios; compiler-route-equivalent
performance,policy_increment,Policy increment,within_target_geometric_mean,redb,redb,,fixed_work,True,False,1.0057764932647826,4,geometric mean across workload paired-run medians within target
performance,policy_increment,Policy increment,route_equivalent_within_target_geometric_mean,redb,redb,,fixed_work,True,False,1.0048021091025487,3,geometric mean across route-equivalent workloads within target
peak_rss,policy_increment,Policy increment,workload_paired_run_median,redb,redb,bulk_small,fixed_work,True,False,1.013157894736842,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,policy_increment,Policy increment,workload_paired_run_median,redb,redb,transaction_churn,fixed_work,True,False,1.0,5,median of five paired-run ratios
peak_rss,policy_increment,Policy increment,workload_paired_run_median,redb,redb,delete_reinsert,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,policy_increment,Policy increment,workload_paired_run_median,redb,redb,large_values,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,policy_increment,Policy increment,within_target_geometric_mean,redb,redb,,fixed_work,True,False,1.0032733661922877,4,geometric mean across workload paired-run medians within target
performance,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,groupby_low_cardinality,fixed_work,True,False,1.4307738854117762,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,groupby_high_cardinality,fixed_work,True,False,1.4000714494654871,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,groupby_multikey,fixed_work,True,False,1.2587635696367203,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,filter_retain,fixed_work,True,False,1.4236977115199847,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,csv_scan,fixed_work,True,False,1.0106125207127592,5,median of five paired-run ratios; compiler-route-equivalent
performance,compiler_route,Compiler route,within_target_geometric_mean,polars,Polars,,fixed_work,True,False,1.2939978841560242,5,geometric mean across workload paired-run medians within target
performance,compiler_route,Compiler route,route_equivalent_within_target_geometric_mean,polars,Polars,,fixed_work,True,False,1.0106125207127592,1,geometric mean across route-equivalent workloads within target
peak_rss,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,groupby_low_cardinality,fixed_work,True,False,1.0067567567567568,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,groupby_high_cardinality,fixed_work,True,False,1.0067567567567568,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,groupby_multikey,fixed_work,True,False,1.0048215343499882,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,filter_retain,fixed_work,True,False,1.0,5,median of five paired-run ratios
