cohort,metric,comparison,comparison_label,aggregation_level,unit_id,family,eligible_for_headline,diagnostic_only,reference_median,subject_median,ratio,observation_count,note
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,binary_heap::bench_find_smallest_1000,binary_heap,True,False,105666.67,105824.66,1.001495173454411,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,binary_heap::bench_find_smallest_1000,binary_heap,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,binary_heap::bench_from_vec,binary_heap,True,False,109525.25,111931.65,1.021971189291967,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,binary_heap::bench_from_vec,binary_heap,True,True,4096.0,4096.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,binary_heap::bench_into_sorted_vec,binary_heap,True,False,205772.54,206485.31,1.003463873265111,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,binary_heap::bench_into_sorted_vec,binary_heap,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,binary_heap::bench_peek_mut_deref_mut,binary_heap,False,True,33125.84,0.26,7.848857568592978e-06,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,binary_heap::bench_peek_mut_deref_mut,binary_heap,True,True,7168.0,7168.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,binary_heap::bench_pop,binary_heap,True,False,210561.42,210539.38,0.9998953274536238,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,binary_heap::bench_pop,binary_heap,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,binary_heap::bench_push,binary_heap,True,False,401654.65,398466.29,0.992061936790723,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,binary_heap::bench_push,binary_heap,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_fat_val_100,btree,True,False,5700.93,4320.11,0.7577903956021209,3,
