comparison_group,comparison_family,population,metric,aggregation_level,variant_id,variant_label,reference_variant_id,target_id,unit_id,family,round,ratio,eligible_for_headline,diagnostic_only,source_artifact
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,async_service_direct,,1,1.123977803738318,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,async_service_direct,,2,1.1334750421461555,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,async_service_direct,,3,1.151673640167364,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,async_web_service_direct,,1,1.1501283957291526,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,async_web_service_direct,,2,1.1640967066438226,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,async_web_service_direct,,3,1.1301664982179902,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,compression_gzip,,1,0.9958607677794462,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,compression_gzip,,2,0.9870067464970111,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,compression_gzip,,3,0.994707148258012,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,get_body_async_burst,,1,1.0100757913508693,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,get_body_async_burst,,2,0.9699991403765152,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,get_body_async_burst,,3,1.0226126126126127,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
baseline,allocator_baseline,macro,performance,paired_round,google_tcmalloc,Google TCMalloc,unialloc,actix_web,router_actix,,1,1.1315241144483408,True,False,/home/hanqing/alloc/UniAlloc/evaluation/raw/type-isolation-primary-v6-ce8af7b/campaigns/macro-allocator-baselines-v4/selections/69037d76c4c0c99c16eb6dc216707a763ed3a5d66872185a363ab5abcf8e30b6/summary.json
