target,campaign,campaign_label,variant,label,round,repetitions,performance_metric,performance_value,performance_unit,performance_direction,plot_reference,plot_performance_delta_percent,plot_peak_rss_delta_percent,matched_reference,matched_performance_delta_percent,matched_peak_rss_delta_percent,peak_rss_mib,performance_value_median,peak_rss_mib_median,plot_performance_delta_percent_median,plot_peak_rss_delta_percent_median,matched_performance_delta_percent_median,matched_peak_rss_delta_percent_median,source_json_path
Oxipng,oxipng_realworld_single_thread,"Real-world matrix, 1 thread",system,System,1,7,wall_time,1.715221541,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,45.30859375,1.715072263,45.46875,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=oxipng]
Oxipng,oxipng_realworld_single_thread,"Real-world matrix, 1 thread",system,System,2,7,wall_time,1.714040078,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,45.46875,1.715072263,45.46875,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=oxipng]
Oxipng,oxipng_realworld_single_thread,"Real-world matrix, 1 thread",system,System,3,7,wall_time,1.71559633,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,45.3125,1.715072263,45.46875,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=oxipng]
Oxipng,oxipng_realworld_single_thread,"Real-world matrix, 1 thread",system,System,4,7,wall_time,1.715072263,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,45.46875,1.715072263,45.46875,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=oxipng]
Oxipng,oxipng_realworld_single_thread,"Real-world matrix, 1 thread",system,System,5,7,wall_time,1.71437247,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,45.47265625,1.715072263,45.46875,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=oxipng]
Oxipng,oxipng_realworld_single_thread,"Real-world matrix, 1 thread",system,System,6,7,wall_time,1.712963784,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,45.46875,1.715072263,45.46875,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=oxipng]
Oxipng,oxipng_realworld_single_thread,"Real-world matrix, 1 thread",system,System,7,7,wall_time,1.717451477,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,45.46875,1.715072263,45.46875,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=oxipng]
Oxipng,oxipng_realworld_single_thread,"Real-world matrix, 1 thread",jemalloc,jemalloc,1,7,wall_time,1.732188411,seconds,lower_is_better,system,0.9891940833548718,5.8194671954478805,system,0.9891940833548718,5.8194671954478805,47.9453125,1.730807019,47.94921875,0.9174398268488648,5.463448157374806,0.9174398268488648,5.463448157374806,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=oxipng]
Oxipng,oxipng_realworld_single_thread,"Real-world matrix, 1 thread",jemalloc,jemalloc,2,7,wall_time,1.729476151,seconds,lower_is_better,system,0.9005666319081174,7.654639175257727,system,0.9005666319081174,7.654639175257727,48.94921875,1.730807019,47.94921875,0.9174398268488648,5.463448157374806,0.9174398268488648,5.463448157374806,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=oxipng]
Oxipng,oxipng_realworld_single_thread,"Real-world matrix, 1 thread",jemalloc,jemalloc,3,7,wall_time,1.730372285,seconds,lower_is_better,system,0.8612722434536924,5.8103448275862,system,0.8612722434536924,5.8103448275862,47.9453125,1.730807019,47.94921875,0.9174398268488648,5.463448157374806,0.9174398268488648,5.463448157374806,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=oxipng]
Oxipng,oxipng_realworld_single_thread,"Real-world matrix, 1 thread",jemalloc,jemalloc,4,7,wall_time,1.730807019,seconds,lower_is_better,system,0.9174398268488648,5.4553264604811025,system,0.9174398268488648,5.4553264604811025,47.94921875,1.730807019,47.94921875,0.9174398268488648,5.463448157374806,0.9174398268488648,5.463448157374806,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=oxipng]
