target,campaign,campaign_label,variant,label,round,repetitions,performance_metric,performance_value,performance_unit,performance_direction,plot_reference,plot_performance_delta_percent,plot_peak_rss_delta_percent,matched_reference,matched_performance_delta_percent,matched_peak_rss_delta_percent,peak_rss_mib,performance_value_median,peak_rss_mib_median,plot_performance_delta_percent_median,plot_peak_rss_delta_percent_median,matched_performance_delta_percent_median,matched_peak_rss_delta_percent_median,source_json_path
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",system,System,1,7,wall_time,2.399149996,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,5.0,2.407573601,5.0,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",system,System,2,7,wall_time,2.407573601,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,5.0,2.407573601,5.0,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",system,System,3,7,wall_time,2.435430294,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,5.0,2.407573601,5.0,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",system,System,4,7,wall_time,2.410475248,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,5.0,2.407573601,5.0,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",system,System,5,7,wall_time,2.364129879,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,5.0,2.407573601,5.0,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",system,System,6,7,wall_time,2.363278465,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,5.0,2.407573601,5.0,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",system,System,7,7,wall_time,2.416211288,seconds,lower_is_better,system,0.0,0.0,system,0.0,0.0,5.0,2.407573601,5.0,0.0,0.0,0.0,0.0,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",jemalloc,jemalloc,1,7,wall_time,2.395301074,seconds,lower_is_better,system,-0.16042856871880673,19.999999999999996,system,-0.16042856871880673,19.999999999999996,6.0,2.382166956,6.0,-0.16042856871880673,19.999999999999996,-0.16042856871880673,19.999999999999996,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",jemalloc,jemalloc,2,7,wall_time,2.383245835,seconds,lower_is_better,system,-1.0104682153806444,19.999999999999996,system,-1.0104682153806444,19.999999999999996,6.0,2.382166956,6.0,-0.16042856871880673,19.999999999999996,-0.16042856871880673,19.999999999999996,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",jemalloc,jemalloc,3,7,wall_time,2.449851511,seconds,lower_is_better,system,0.5921424659752539,19.999999999999996,system,0.5921424659752539,19.999999999999996,6.0,2.382166956,6.0,-0.16042856871880673,19.999999999999996,-0.16042856871880673,19.999999999999996,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",jemalloc,jemalloc,4,7,wall_time,2.364321886,seconds,lower_is_better,system,-1.9146996858106724,19.999999999999996,system,-1.9146996858106724,19.999999999999996,6.0,2.382166956,6.0,-0.16042856871880673,19.999999999999996,-0.16042856871880673,19.999999999999996,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",jemalloc,jemalloc,5,7,wall_time,2.360408018,seconds,lower_is_better,system,-0.15743047930911747,19.999999999999996,system,-0.15743047930911747,19.999999999999996,6.0,2.382166956,6.0,-0.16042856871880673,19.999999999999996,-0.16042856871880673,19.999999999999996,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",jemalloc,jemalloc,6,7,wall_time,2.364208821,seconds,lower_is_better,system,0.039367176309457186,39.99999999999999,system,0.039367176309457186,39.99999999999999,7.0,2.382166956,6.0,-0.16042856871880673,19.999999999999996,-0.16042856871880673,19.999999999999996,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
