target,campaign,campaign_label,variant,label,round,repetitions,performance_metric,performance_value,performance_unit,performance_direction,plot_reference,plot_performance_delta_percent,plot_peak_rss_delta_percent,matched_reference,matched_performance_delta_percent,matched_peak_rss_delta_percent,peak_rss_mib,performance_value_median,peak_rss_mib_median,plot_performance_delta_percent_median,plot_peak_rss_delta_percent_median,matched_performance_delta_percent_median,matched_peak_rss_delta_percent_median,source_json_path
Rsedis,rsedis_allocator_matrix,Allocator matrix,system_ptmalloc,System (ptmalloc),1,5,throughput,60912.22976391293,requests_per_second,higher_is_better,system_ptmalloc,0.0,0.0,system_ptmalloc,0.0,0.0,5.14453125,61416.32985639174,5.14453125,0.0,0.0,0.0,0.0,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,system_ptmalloc,System (ptmalloc),2,5,throughput,61717.835444863216,requests_per_second,higher_is_better,system_ptmalloc,0.0,0.0,system_ptmalloc,0.0,0.0,5.2734375,61416.32985639174,5.14453125,0.0,0.0,0.0,0.0,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,system_ptmalloc,System (ptmalloc),3,5,throughput,61416.32985639174,requests_per_second,higher_is_better,system_ptmalloc,0.0,0.0,system_ptmalloc,0.0,0.0,4.94140625,61416.32985639174,5.14453125,0.0,0.0,0.0,0.0,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,system_ptmalloc,System (ptmalloc),4,5,throughput,63829.62199001583,requests_per_second,higher_is_better,system_ptmalloc,0.0,0.0,system_ptmalloc,0.0,0.0,5.046875,61416.32985639174,5.14453125,0.0,0.0,0.0,0.0,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,system_ptmalloc,System (ptmalloc),5,5,throughput,61366.637879116584,requests_per_second,higher_is_better,system_ptmalloc,0.0,0.0,system_ptmalloc,0.0,0.0,5.19921875,61416.32985639174,5.14453125,0.0,0.0,0.0,0.0,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,jemalloc,jemalloc,1,5,throughput,63066.65987114998,requests_per_second,higher_is_better,system_ptmalloc,3.5369417858898133,207.97266514806378,system_ptmalloc,3.5369417858898133,207.97266514806378,15.84375,63066.65987114998,15.0,2.7404512825188743,203.5573122529644,2.7404512825188743,203.5573122529644,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,jemalloc,jemalloc,2,5,throughput,63409.182657854864,requests_per_second,higher_is_better,system_ptmalloc,2.7404512825188743,182.88888888888889,system_ptmalloc,2.7404512825188743,182.88888888888889,14.91796875,63066.65987114998,15.0,2.7404512825188743,203.5573122529644,2.7404512825188743,203.5573122529644,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,jemalloc,jemalloc,3,5,throughput,61890.18025263415,requests_per_second,higher_is_better,system_ptmalloc,0.7715381191784054,203.5573122529644,system_ptmalloc,0.7715381191784054,203.5573122529644,15.0,63066.65987114998,15.0,2.7404512825188743,203.5573122529644,2.7404512825188743,203.5573122529644,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,jemalloc,jemalloc,4,5,throughput,62306.755306354426,requests_per_second,higher_is_better,system_ptmalloc,-2.385830647562992,207.3529411764706,system_ptmalloc,-2.385830647562992,207.3529411764706,15.51171875,63066.65987114998,15.0,2.7404512825188743,203.5573122529644,2.7404512825188743,203.5573122529644,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,jemalloc,jemalloc,5,5,throughput,63358.07173003309,requests_per_second,higher_is_better,system_ptmalloc,3.245140877424868,179.41397445529677,system_ptmalloc,3.245140877424868,179.41397445529677,14.52734375,63066.65987114998,15.0,2.7404512825188743,203.5573122529644,2.7404512825188743,203.5573122529644,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,mimalloc,mimalloc,1,5,throughput,62707.46156179185,requests_per_second,higher_is_better,system_ptmalloc,2.9472436074610586,1229.384965831435,system_ptmalloc,2.9472436074610586,1229.384965831435,68.390625,62707.46156179185,68.4609375,1.8403506080486354,1229.384965831435,1.8403506080486354,1229.384965831435,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
