case_id,advisory_id,package,source_ledger_primitive,presentation_primitive,presentation_status,presentation_outcome,type_isolation,reclaim_checks,recovery_layout_validation
RSH-001,RUSTSEC-2019-0016,chttp,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-002,RUSTSEC-2020-0007,bitvec,use_after_free,use_after_free,executable,type_isolation+reclaim_checks,True,True,False
RSH-003,RUSTSEC-2020-0017,internment,use_after_free,use_after_free,executable,mechanism_boundary,False,False,False
RSH-005,RUSTSEC-2020-0047,array-queue,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-006,RUSTSEC-2020-0091,arc-swap,use_after_free,stack_lifetime_dangling_target,post_source_audit_exclusion,stack_only_out_of_heap_scope,False,False,False
RSH-008,RUSTSEC-2021-0130,lru,use_after_free,use_after_free,executable,type_isolation,True,False,False
RSH-009,RUSTSEC-2021-0030,scratchpad,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-010,RUSTSEC-2021-0049,through,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-011,RUSTSEC-2019-0034,http,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-012,RUSTSEC-2021-0052,id-map,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-013,RUSTSEC-2021-0053,algorithmica,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-014,RUSTSEC-2021-0047,slice-deque,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-018,RUSTSEC-2025-0053,arenavec,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-019,RUSTSEC-2026-0005,oneshot,use_after_free,use_after_free,executable,mechanism_boundary,False,False,False
RSH-020,RUSTSEC-2026-0103,thin-vec,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-021,RUSTSEC-2026-0143,oneringbuf,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-031,RUSTSEC-2023-0017,maligned,invalid_free,invalid_free,executable,recovery_layout_validation,False,False,True
RSH-041,RUSTSEC-2026-0152,oneringbuf,use_after_free,use_after_free,executable,type_isolation,True,False,False
RSH-042,RUSTSEC-2026-0128,emap,use_after_free,use_after_free,executable,type_isolation,True,False,False
RSH-043,RUSTSEC-2026-0131,bitchomp,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-044,RUSTSEC-2021-0018,qwutils,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-045,RUSTSEC-2021-0033,stack_dst,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-046,RUSTSEC-2018-0003,smallvec,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-047,RUSTSEC-2018-0009,crossbeam,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-048,RUSTSEC-2019-0009,smallvec,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-049,RUSTSEC-2019-0010,libflate,uninitialized_drop,uninitialized_drop,executable,no_allocator_signal,False,False,False
RSH-050,RUSTSEC-2019-0014,image,uninitialized_drop,uninitialized_drop,executable,no_allocator_signal,False,False,False
RSH-051,RUSTSEC-2019-0021,linea,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-052,RUSTSEC-2019-0023,string-interner,use_after_free,use_after_free,executable,type_isolation,True,False,False
RSH-053,RUSTSEC-2020-0038,ordnung,use_after_free,use_after_free,executable,reclaim_checks,False,True,False
RSH-054,RUSTSEC-2020-0105,abi_stable,double_free,double_free,audit_only,no_executable_witness,False,False,False
RSH-055,RUSTSEC-2020-0145,heapless,use_after_free,use_after_free,executable,type_isolation,True,False,False
RSH-056,RUSTSEC-2021-0005,glsl-layout,double_free,double_free,audit_only,no_executable_witness,False,False,False
RSH-057,RUSTSEC-2021-0009,basic_dsp_matrix,use_after_free,use_after_free,executable,reclaim_checks,False,True,False
RSH-058,RUSTSEC-2021-0010,containers,double_free,double_free,executable,reclaim_checks,False,True,False
RSH-059,RUSTSEC-2021-0022,yottadb,use_after_free,use_after_free,audit_only,no_executable_witness,False,False,False
RSH-060,RUSTSEC-2021-0028,toodee,out_of_bounds_read,out_of_bounds_read,executable,reclaim_checks,False,True,False
