allocator,feature,allocator_label,benchmark,family,cell_status,comparable,robust_selected,timeout_phase,timeout_round,timeout_seconds,sample_index,measured_round,sample_ns_per_iter,sample_stdout_path,cell_median_ns_per_iter,cell_mad_ns_per_iter,cell_min_ns_per_iter,cell_max_ns_per_iter,cell_ratio_vs_unialloc,unialloc_median_ns_per_iter,raw_leaf_geomean,raw_family_balanced_geomean,robust_leaf_geomean,robust_family_balanced_geomean
unialloc,bench_ourself,UniAlloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,1,1,105642.88,runs/measured/round-1/unialloc/binary_heap__bench_find_smallest_1000/stdout.txt,105666.67,23.789999999993597,105642.88,105733.52,1,105666.67,1,1,1,1
unialloc,bench_ourself,UniAlloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,2,2,105666.67,runs/measured/round-2/unialloc/binary_heap__bench_find_smallest_1000/stdout.txt,105666.67,23.789999999993597,105642.88,105733.52,1,105666.67,1,1,1,1
unialloc,bench_ourself,UniAlloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,3,3,105733.52,runs/measured/round-3/unialloc/binary_heap__bench_find_smallest_1000/stdout.txt,105666.67,23.789999999993597,105642.88,105733.52,1,105666.67,1,1,1,1
ptmalloc,bench_ptmalloc,ptmalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,1,1,105651.23,runs/measured/round-1/ptmalloc/binary_heap__bench_find_smallest_1000/stdout.txt,105824.66,72.360000000000582,105651.23,105897.02,1.0014951734544111,105666.67,0.90653779200235551,0.63808740020762755,1.0013444066074444,0.97149713960572526
ptmalloc,bench_ptmalloc,ptmalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,2,2,105824.66,runs/measured/round-2/ptmalloc/binary_heap__bench_find_smallest_1000/stdout.txt,105824.66,72.360000000000582,105651.23,105897.02,1.0014951734544111,105666.67,0.90653779200235551,0.63808740020762755,1.0013444066074444,0.97149713960572526
ptmalloc,bench_ptmalloc,ptmalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,3,3,105897.02,runs/measured/round-3/ptmalloc/binary_heap__bench_find_smallest_1000/stdout.txt,105824.66,72.360000000000582,105651.23,105897.02,1.0014951734544111,105666.67,0.90653779200235551,0.63808740020762755,1.0013444066074444,0.97149713960572526
jemalloc,bench_jemalloc,jemalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,1,1,105917.88,runs/measured/round-1/jemalloc/binary_heap__bench_find_smallest_1000/stdout.txt,105917.88,24.029999999998836,105893.85000000001,106121.60000000001,1.0023773816284738,105666.67,0.96144687108848204,0.92693697465913671,1.0031277153916665,0.9723479501071558
jemalloc,bench_jemalloc,jemalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,2,2,106121.60000000001,runs/measured/round-2/jemalloc/binary_heap__bench_find_smallest_1000/stdout.txt,105917.88,24.029999999998836,105893.85000000001,106121.60000000001,1.0023773816284738,105666.67,0.96144687108848204,0.92693697465913671,1.0031277153916665,0.9723479501071558
jemalloc,bench_jemalloc,jemalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,3,3,105893.85000000001,runs/measured/round-3/jemalloc/binary_heap__bench_find_smallest_1000/stdout.txt,105917.88,24.029999999998836,105893.85000000001,106121.60000000001,1.0023773816284738,105666.67,0.96144687108848204,0.92693697465913671,1.0031277153916665,0.9723479501071558
mimalloc,bench_mimalloc,mimalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,1,1,105659.66,runs/measured/round-1/mimalloc/binary_heap__bench_find_smallest_1000/stdout.txt,105649.72,9.9400000000023283,105404.62,105659.66,0.9998395899104231,105666.67,0.89185858198636236,0.83256560240363364,0.95407711287332186,0.92222560710600288
mimalloc,bench_mimalloc,mimalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,2,2,105404.62,runs/measured/round-2/mimalloc/binary_heap__bench_find_smallest_1000/stdout.txt,105649.72,9.9400000000023283,105404.62,105659.66,0.9998395899104231,105666.67,0.89185858198636236,0.83256560240363364,0.95407711287332186,0.92222560710600288
mimalloc,bench_mimalloc,mimalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,3,3,105649.72,runs/measured/round-3/mimalloc/binary_heap__bench_find_smallest_1000/stdout.txt,105649.72,9.9400000000023283,105404.62,105659.66,0.9998395899104231,105666.67,0.89185858198636236,0.83256560240363364,0.95407711287332186,0.92222560710600288
tcmalloc,bench_tcmalloc,TCMalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,1,1,118714.41,runs/measured/round-1/tcmalloc/binary_heap__bench_find_smallest_1000/stdout.txt,118820.23,105.81999999999243,118714.41,118940.25,1.1244816364516834,105666.67,0.90351595115859995,0.84942510433259555,0.97811907802949971,0.94166082768973902
tcmalloc,bench_tcmalloc,TCMalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,2,2,118940.25,runs/measured/round-2/tcmalloc/binary_heap__bench_find_smallest_1000/stdout.txt,118820.23,105.81999999999243,118714.41,118940.25,1.1244816364516834,105666.67,0.90351595115859995,0.84942510433259555,0.97811907802949971,0.94166082768973902
tcmalloc,bench_tcmalloc,TCMalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,3,3,118820.23,runs/measured/round-3/tcmalloc/binary_heap__bench_find_smallest_1000/stdout.txt,118820.23,105.81999999999243,118714.41,118940.25,1.1244816364516834,105666.67,0.90351595115859995,0.84942510433259555,0.97811907802949971,0.94166082768973902
snmalloc,bench_snmalloc,snmalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,1,1,106146.31,runs/measured/round-1/snmalloc/binary_heap__bench_find_smallest_1000/stdout.txt,105985.64,40.380000000004657,105945.25999999999,106146.31,1.0030186434378976,105666.67,0.86769725925056707,0.80330862950293047,0.95094896384499594,0.9084905976399279
snmalloc,bench_snmalloc,snmalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,2,2,105985.64,runs/measured/round-2/snmalloc/binary_heap__bench_find_smallest_1000/stdout.txt,105985.64,40.380000000004657,105945.25999999999,106146.31,1.0030186434378976,105666.67,0.86769725925056707,0.80330862950293047,0.95094896384499594,0.9084905976399279
snmalloc,bench_snmalloc,snmalloc,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,3,3,105945.25999999999,runs/measured/round-3/snmalloc/binary_heap__bench_find_smallest_1000/stdout.txt,105985.64,40.380000000004657,105945.25999999999,106146.31,1.0030186434378976,105666.67,0.86769725925056707,0.80330862950293047,0.95094896384499594,0.9084905976399279
scudo,bench_scudo,Scudo,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,1,1,105772.67999999999,runs/measured/round-1/scudo/binary_heap__bench_find_smallest_1000/stdout.txt,105755.64999999999,17.029999999998836,105551.89,105772.67999999999,1.0008420819923634,105666.67,1.0907727254083404,0.78099766399937387,1.1641786182120943,1.1104703208748601
scudo,bench_scudo,Scudo,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,2,2,105755.64999999999,runs/measured/round-2/scudo/binary_heap__bench_find_smallest_1000/stdout.txt,105755.64999999999,17.029999999998836,105551.89,105772.67999999999,1.0008420819923634,105666.67,1.0907727254083404,0.78099766399937387,1.1641786182120943,1.1104703208748601
scudo,bench_scudo,Scudo,binary_heap::bench_find_smallest_1000,binary_heap,complete,true,true,,,,3,3,105551.89,runs/measured/round-3/scudo/binary_heap__bench_find_smallest_1000/stdout.txt,105755.64999999999,17.029999999998836,105551.89,105772.67999999999,1.0008420819923634,105666.67,1.0907727254083404,0.78099766399937387,1.1641786182120943,1.1104703208748601
unialloc,bench_ourself,UniAlloc,binary_heap::bench_from_vec,binary_heap,complete,true,true,,,,1,1,114637.24000000001,runs/measured/round-1/unialloc/binary_heap__bench_from_vec/stdout.txt,109525.25,362.41000000000349,109162.84,114637.24000000001,1,109525.25,1,1,1,1
unialloc,bench_ourself,UniAlloc,binary_heap::bench_from_vec,binary_heap,complete,true,true,,,,2,2,109525.25,runs/measured/round-2/unialloc/binary_heap__bench_from_vec/stdout.txt,109525.25,362.41000000000349,109162.84,114637.24000000001,1,109525.25,1,1,1,1
unialloc,bench_ourself,UniAlloc,binary_heap::bench_from_vec,binary_heap,complete,true,true,,,,3,3,109162.84,runs/measured/round-3/unialloc/binary_heap__bench_from_vec/stdout.txt,109525.25,362.41000000000349,109162.84,114637.24000000001,1,109525.25,1,1,1,1
