variant,allocator,feature,allocator_label,benchmark,robustness_selected,sample_index,measured_round,sample_ns_per_iter,cell_median_ns_per_iter,cell_mad_ns_per_iter,cell_min_ns_per_iter,cell_max_ns_per_iter,cell_median_ratio_vs_unialloc,aggregate_geomean_median_ratio_vs_unialloc,robust_geomean_median_ratio_vs_unialloc
bench_ourself,unialloc,bench_ourself,UniAlloc,binary_heap::bench_from_vec,true,1,1,345319.45000000001,414391.39000000001,12110.260000000009,345319.45000000001,426501.65000000002,1,1,1
bench_ourself,unialloc,bench_ourself,UniAlloc,binary_heap::bench_from_vec,true,2,2,414391.39000000001,414391.39000000001,12110.260000000009,345319.45000000001,426501.65000000002,1,1,1
bench_ourself,unialloc,bench_ourself,UniAlloc,binary_heap::bench_from_vec,true,3,3,426501.65000000002,414391.39000000001,12110.260000000009,345319.45000000001,426501.65000000002,1,1,1
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,binary_heap::bench_from_vec,true,1,1,110180.67,109313.11,61.220000000001164,109251.89,110180.67,0.26379194316754506,0.81232787988481392,0.81232787988481392
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,binary_heap::bench_from_vec,true,2,2,109251.89,109313.11,61.220000000001164,109251.89,110180.67,0.26379194316754506,0.81232787988481392,0.81232787988481392
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,binary_heap::bench_from_vec,true,3,3,109313.11,109313.11,61.220000000001164,109251.89,110180.67,0.26379194316754506,0.81232787988481392,0.81232787988481392
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,binary_heap::bench_from_vec,true,1,1,109764.39999999999,109764.39999999999,73.349999999991269,109691.05,110067,0.26488098606488902,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,binary_heap::bench_from_vec,true,2,2,109691.05,109764.39999999999,73.349999999991269,109691.05,110067,0.26488098606488902,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,binary_heap::bench_from_vec,true,3,3,110067,109764.39999999999,73.349999999991269,109691.05,110067,0.26488098606488902,0.81557727656763457,0.81557727656763457
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,binary_heap::bench_from_vec,true,1,1,109101.17,109458.7,357.52999999999884,109101.17,113373.75999999999,0.26414327768730905,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,binary_heap::bench_from_vec,true,2,2,109458.7,109458.7,357.52999999999884,109101.17,113373.75999999999,0.26414327768730905,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,binary_heap::bench_from_vec,true,3,3,113373.75999999999,109458.7,357.52999999999884,109101.17,113373.75999999999,0.26414327768730905,0.77215917526012701,0.77215917526012701
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,binary_heap::bench_from_vec,true,1,1,109212.09,109298.45,86.360000000000582,109212.09,109780.19,0.26375656598463593,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,binary_heap::bench_from_vec,true,2,2,109298.45,109298.45,86.360000000000582,109212.09,109780.19,0.26375656598463593,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,binary_heap::bench_from_vec,true,3,3,109780.19,109298.45,86.360000000000582,109212.09,109780.19,0.26375656598463593,0.76406462127847108,0.76406462127847108
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,binary_heap::bench_from_vec,true,1,1,109103.39999999999,109227.11,34.679999999993015,109103.39999999999,109261.78999999999,0.26358440989809173,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,binary_heap::bench_from_vec,true,2,2,109227.11,109227.11,34.679999999993015,109103.39999999999,109261.78999999999,0.26358440989809173,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,binary_heap::bench_from_vec,true,3,3,109261.78999999999,109227.11,34.679999999993015,109103.39999999999,109261.78999999999,0.26358440989809173,0.79324362672494542,0.79324362672494542
bench_scudo,scudo,bench_scudo,Scudo,binary_heap::bench_from_vec,true,1,1,110852.19,109593.09,270.70999999999185,109322.38,110852.19,0.26446758461849312,0.89677931758908924,0.89677931758908924
bench_scudo,scudo,bench_scudo,Scudo,binary_heap::bench_from_vec,true,2,2,109322.38,109593.09,270.70999999999185,109322.38,110852.19,0.26446758461849312,0.89677931758908924,0.89677931758908924
bench_scudo,scudo,bench_scudo,Scudo,binary_heap::bench_from_vec,true,3,3,109593.09,109593.09,270.70999999999185,109322.38,110852.19,0.26446758461849312,0.89677931758908924,0.89677931758908924
bench_ourself,unialloc,bench_ourself,UniAlloc,btree::map::from_iter_rand_10_000,true,1,1,129515.23,129024.17,150.91999999999825,128873.25,129515.23,1,1,1
bench_ourself,unialloc,bench_ourself,UniAlloc,btree::map::from_iter_rand_10_000,true,2,2,129024.17,129024.17,150.91999999999825,128873.25,129515.23,1,1,1
bench_ourself,unialloc,bench_ourself,UniAlloc,btree::map::from_iter_rand_10_000,true,3,3,128873.25,129024.17,150.91999999999825,128873.25,129515.23,1,1,1
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,btree::map::from_iter_rand_10_000,true,1,1,151798.13,151798.13,81.130000000004657,151717,155476.72,1.1765092540413165,0.81232787988481392,0.81232787988481392
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,btree::map::from_iter_rand_10_000,true,2,2,155476.72,151798.13,81.130000000004657,151717,155476.72,1.1765092540413165,0.81232787988481392,0.81232787988481392
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,btree::map::from_iter_rand_10_000,true,3,3,151717,151798.13,81.130000000004657,151717,155476.72,1.1765092540413165,0.81232787988481392,0.81232787988481392
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,btree::map::from_iter_rand_10_000,true,1,1,128480,127954.23,525.77000000000407,127328.67,128480,0.99170744520193388,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,btree::map::from_iter_rand_10_000,true,2,2,127954.23,127954.23,525.77000000000407,127328.67,128480,0.99170744520193388,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,btree::map::from_iter_rand_10_000,true,3,3,127328.67,127954.23,525.77000000000407,127328.67,128480,0.99170744520193388,0.81557727656763457,0.81557727656763457
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,btree::map::from_iter_rand_10_000,true,1,1,119635.11,120305.89,525.55000000000291,119635.11,120831.44,0.93242909448671518,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,btree::map::from_iter_rand_10_000,true,2,2,120305.89,120305.89,525.55000000000291,119635.11,120831.44,0.93242909448671518,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,btree::map::from_iter_rand_10_000,true,3,3,120831.44,120305.89,525.55000000000291,119635.11,120831.44,0.93242909448671518,0.77215917526012701,0.77215917526012701
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,btree::map::from_iter_rand_10_000,true,1,1,122100.53,122100.53,21.5,119408.42999999999,122122.03,0.94633842635841026,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,btree::map::from_iter_rand_10_000,true,2,2,119408.42999999999,122100.53,21.5,119408.42999999999,122122.03,0.94633842635841026,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,btree::map::from_iter_rand_10_000,true,3,3,122122.03,122100.53,21.5,119408.42999999999,122122.03,0.94633842635841026,0.76406462127847108,0.76406462127847108
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,btree::map::from_iter_rand_10_000,true,1,1,120142.87,119227.47,551.80000000000291,118675.67,120142.87,0.92407081556889692,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,btree::map::from_iter_rand_10_000,true,2,2,118675.67,119227.47,551.80000000000291,118675.67,120142.87,0.92407081556889692,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,btree::map::from_iter_rand_10_000,true,3,3,119227.47,119227.47,551.80000000000291,118675.67,120142.87,0.92407081556889692,0.79324362672494542,0.79324362672494542
bench_scudo,scudo,bench_scudo,Scudo,btree::map::from_iter_rand_10_000,true,1,1,141397.16,141397.16,843.29000000000815,139209.54999999999,142240.45000000001,1.0958966835438664,0.89677931758908924,0.89677931758908924
bench_scudo,scudo,bench_scudo,Scudo,btree::map::from_iter_rand_10_000,true,2,2,139209.54999999999,141397.16,843.29000000000815,139209.54999999999,142240.45000000001,1.0958966835438664,0.89677931758908924,0.89677931758908924
